,description
16225,"apple strudel boasts 195.0 calories. The nutritional content includes 8.0 grams of fat, 4.3 grams of cholesterol, and 0.3 grams of iron, as well as 18.3 grams of sugars and 29.2 grams of carbohydrates."
16226,"With 200.0 calories, chocolate snack cake offers 8.0 grams of fat, 0.0 grams of cholesterol, 1.8 grams of iron, 18.9 grams of sugars, and 30.2 grams of carbohydrates."
16227,"fruit fried pie gives you 404.0 calories. It contains 20.6 grams of fat, 0.0 grams of cholesterol, and 1.6 grams of iron. Additionally, it includes 27.4 grams of sugar and 54.5 grams of carbs."
16228,"pumpkin pie contributes 316.0 calories. Nutritionally, it has 14.4 grams of fat, 65.1 grams of cholesterol, and 2.0 grams of iron, as well as 0.0 grams of sugars and 40.9 grams of carbohydrates."
16229,"corn cake yields 35.0 calories. Nutritionally, it includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, along with 2.1 grams of sugars and 7.5 grams of carbohydrates."
16230,"sponge snack cake generates 157.0 calories. The nutritional breakdown includes 4.8 grams of fat, 17.2 grams of cholesterol, and 0.6 grams of iron, along with 15.7 grams of sugars and 26.9 grams of carbohydrates."
16231,"danish pastry with nuts is a food with 280.0 calories. It provides 16.4 grams of fat, 29.9 grams of cholesterol, and 1.2 grams of iron. You can also find 16.8 grams of sugars and 29.7 grams of carbohydrates in it."
16232,"chocolate cream pie exhibits 301.0 calories. It contains 19.2 grams of fat, 5.0 grams of cholesterol, and 1.1 grams of iron, as well as 0.0 grams of sugars and 33.3 grams of carbohydrates."
16233,"angel food cake has 72.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, 0.1 grams of iron, 0.0 grams of sugars, and 16.2 grams of carbohydrates."
16234,"lemon meringue pie indicates 362.0 calories. It contains 16.4 grams of fat, 67.3 grams of cholesterol, and 1.3 grams of iron, as well as 0.0 grams of sugars and 49.7 grams of carbohydrates."
16235,"danish pastry with cinnamon comprises 349.0 calories. It includes 16.7 grams of fat, 27.3 grams of cholesterol, and 1.8 grams of iron, as well as 0.0 grams of sugars and 46.9 grams of carbohydrates."
16236,"cinnamon coffeecake displays 238.0 calories. Nutritionally, it includes 13.3 grams of fat, 18.2 grams of cholesterol, and 1.1 grams of iron, along with 0.0 grams of sugars and 26.6 grams of carbohydrates."
16237,"cheesecake has 257.0 calories. It contains 18.0 grams of fat, 44.0 grams of cholesterol, 0.5 grams of iron, 17.4 grams of sugars, and 20.4 grams of carbohydrates."
16238,"fruitcake represents 139.0 calories. It contains 3.9 grams of fat, 2.2 grams of cholesterol, and 0.9 grams of iron, as well as 11.8 grams of sugars and 26.5 grams of carbohydrates."
16239,"egg custard has a calorie count of 293.0. It provides 12.9 grams of fat, 236.9 grams of cholesterol, and 1.0 grams of iron. It also contains 31.0 grams of sugar and 31.0 grams of carbs."
16240,"The food item mince pie provides 477.0 calories. You can find 17.8 grams of fat, 0.0 grams of cholesterol, and 2.5 grams of iron. It also contains 46.7 grams of sugars and 79.2 grams of carbohydrates."
16241,"yellow cake with chocolate frosting encompasses 546.0 calories. It contains 25.6 grams of fat, 23.0 grams of cholesterol, and 2.9 grams of iron, along with 56.5 grams of sugars and 79.7 grams of carbohydrates."
16242,"danish pastry with fruit demonstrates 335.0 calories. The nutritional content includes 15.9 grams of fat, 18.8 grams of cholesterol, and 1.4 grams of iron, along with 0.0 grams of sugars and 45.1 grams of carbohydrates."
16243,"white cake with coconut frosting provides 399.0 calories. It contains 11.5 grams of fat, 1.1 grams of cholesterol, and 1.3 grams of iron, as well as 64.3 grams of sugars and 70.8 grams of carbohydrates."
16244,"danish pastry with cheese produces 353.0 calories. It contains 24.6 grams of fat, 20.0 grams of cholesterol, and 1.8 grams of iron, as well as 0.0 grams of sugars and 28.7 grams of carbohydrates."
16245,"graham cracker pie crust signifies 917.0 calories. It contains 45.4 grams of fat, 0.0 grams of cholesterol, and 4.8 grams of iron, as well as 33.2 grams of sugars and 117.7 grams of carbohydrates."
16246,"blueberry pie displays 360.0 calories. Nutritionally, it includes 17.5 grams of fat, 0.0 grams of cholesterol, and 1.8 grams of iron, along with 0.0 grams of sugars and 49.2 grams of carbohydrates."
16247,"yellow cake with vanilla frosting stands at 239.0 calories. It contains 9.3 grams of fat, 35.2 grams of cholesterol, and 0.7 grams of iron, as well as 0.0 grams of sugars and 37.6 grams of carbohydrates."
16248,"pie crust carries 121.0 calories. It has 8.0 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 0.045 grams of sugars and 10.9 grams of carbohydrates."
16249,"chocolate cake with chocolate frosting serves up 537.0 calories. Nutritionally, it contains 27.7 grams of fat, 30.4 grams of cholesterol, and 4.2 grams of iron, along with 55.1 grams of sugars and 72.9 grams of carbohydrates."
16250,"cheese coffeecake provides 258.0 calories. It contains 11.6 grams of fat, 64.6 grams of cholesterol, and 0.5 grams of iron, as well as 0.0 grams of sugars and 33.7 grams of carbohydrates."
16251,"vanilla cream pie registers 350.0 calories. It contains 18.1 grams of fat, 78.1 grams of cholesterol, and 1.3 grams of iron, as well as 16.0 grams of sugars and 41.1 grams of carbohydrates."
16252,"pineapple cake demonstrates 367.0 calories. The nutritional content includes 13.9 grams of fat, 25.3 grams of cholesterol, and 1.7 grams of iron, along with 0.0 grams of sugars and 58.1 grams of carbohydrates."
16253,"peach pie contains 262.0 calories. In terms of nutrition, it has 11.7 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron. Additionally, it includes 19.0 grams of sugar and 38.5 grams of carbs."
16254,"fruit coffeecake generates 156.0 calories. The nutritional breakdown includes 5.1 grams of fat, 3.5 grams of cholesterol, and 1.2 grams of iron, along with 0.0 grams of sugars and 25.8 grams of carbohydrates."
16255,"pound cake signifies 116.0 calories. It contains 6.0 grams of fat, 66.3 grams of cholesterol, and 0.4 grams of iron, as well as 0.0 grams of sugars and 14.6 grams of carbohydrates."
16256,"pound cake bread accounts for 215.0 calories. Nutritionally, it contains 9.6 grams of fat, 0.0 grams of cholesterol, and 1.2 grams of iron, along with 10.0 grams of sugars and 28.2 grams of carbohydrates."
16257,"The food item white cake provides 264.0 calories. You can find 9.2 grams of fat, 1.5 grams of cholesterol, and 1.1 grams of iron. It also contains 26.3 grams of sugars and 42.3 grams of carbohydrates."
16258,"coffeecake with chocolate frosting has a calorie count of 298.0. It provides 9.7 grams of fat, 62.1 grams of cholesterol, and 0.5 grams of iron. It also contains 0.0 grams of sugar and 48.4 grams of carbs."
16259,"In popcorn cake, you get 38.0 calories. The nutritional content includes 0.3 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron. There are also 0.001 grams of sugar and 8.0 grams of carbs."
16260,"banana cream pie demonstrates 3190.0 calories. The nutritional content includes 161.3 grams of fat, 604.9 grams of cholesterol, and 12.3 grams of iron, along with 143.0 grams of sugars and 390.2 grams of carbohydrates."
16261,"The food item baked apple pie mcdonalds provides 91.0 calories. You can find 4.4 grams of fat, 0.0 grams of cholesterol, and 0.6 grams of iron. It also contains 4.9 grams of sugars and 12.3 grams of carbohydrates."
16262,"sponge cake comprises 187.0 calories. It includes 2.7 grams of fat, 107.1 grams of cholesterol, and 1.0 grams of iron, as well as 0.0 grams of sugars and 36.4 grams of carbohydrates."
16263,"yellow cake yields 245.0 calories. Nutritionally, it includes 9.9 grams of fat, 36.7 grams of cholesterol, and 1.1 grams of iron, along with 0.0 grams of sugars and 36.0 grams of carbohydrates."
16264,"shortcake carries 98.0 calories. It has 4.0 grams of fat, 0.8 grams of cholesterol, and 0.7 grams of iron, as well as 0.0 grams of sugars and 13.7 grams of carbohydrates."
16265,"cherry pie boasts 486.0 calories. The nutritional content includes 22.0 grams of fat, 0.0 grams of cholesterol, and 3.3 grams of iron, as well as 0.0 grams of sugars and 69.3 grams of carbohydrates."
16266,"dutch apple pie holds 397.0 calories. It contains 15.8 grams of fat, 0.0 grams of cholesterol, and 1.2 grams of iron, along with 30.2 grams of sugars and 61.0 grams of carbohydrates."
16267,"chocolate cake amounts to 352.0 calories. It includes 14.3 grams of fat, 55.1 grams of cholesterol, and 1.5 grams of iron, along with 0.0 grams of sugars and 50.7 grams of carbohydrates."
16268,"marshmallow equals 64.0 calories. Nutritionally, it includes 0.033 grams of fat, 0.0 grams of cholesterol, and 0.038 grams of iron, along with 11.5 grams of sugars and 16.3 grams of carbohydrates."
16269,"sugar apple indicates 72.0 calories. It contains 0.2 grams of fat, 0.0 grams of cholesterol, and 0.075 grams of iron, as well as 0.0 grams of sugars and 18.2 grams of carbohydrates."
16270,"toffee packs 67.0 calories. It has 3.9 grams of fat, 12.5 grams of cholesterol, and 0.092 grams of iron, as well as 7.6 grams of sugars and 7.8 grams of carbohydrates."
16271,"vanilla fudge with nuts provides 123.0 calories. It contains 3.9 grams of fat, 3.7 grams of cholesterol, and 0.1 grams of iron, as well as 20.1 grams of sugars and 21.1 grams of carbohydrates."
16272,"peanuts chocolate coated generates 21.0 calories. The nutritional breakdown includes 1.3 grams of fat, 0.4 grams of cholesterol, and 0.037 grams of iron, along with 1.5 grams of sugars and 2.0 grams of carbohydrates."
16273,"caramel with nuts chocolate coated boasts 66.0 calories. The nutritional content includes 2.9 grams of fat, 0.0 grams of cholesterol, and 0.2 grams of iron, as well as 5.8 grams of sugars and 8.5 grams of carbohydrates."
16274,"With 263.0 calories, gingerbread offers 12.1 grams of fat, 23.7 grams of cholesterol, 2.1 grams of iron, 0.0 grams of sugars, and 36.4 grams of carbohydrates."
16275,"rolo nestle provides 24.0 calories. It contains 1.0 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.078 grams of sugars and 0.2 grams of carbohydrates."
16276,"vanilla fudge reflects 108.0 calories. Nutritionally, it includes 1.5 grams of fat, 4.2 grams of cholesterol, and 0.036 grams of iron, along with 22.6 grams of sugars and 23.2 grams of carbohydrates."
16277,"halavah amounts to 328.0 calories. It includes 15.1 grams of fat, 0.0 grams of cholesterol, and 3.2 grams of iron, along with 0.0 grams of sugars and 42.3 grams of carbohydrates."
16278,"In praline, you get 189.0 calories. The nutritional content includes 10.1 grams of fat, 0.0 grams of cholesterol, and 0.5 grams of iron. There are also 21.8 grams of sugar and 23.2 grams of carbs."
16279,"fruit juice bar carries 67.0 calories. It has 0.089 grams of fat, 0.0 grams of cholesterol, and 0.1 grams of iron, as well as 13.5 grams of sugars and 15.6 grams of carbohydrates."
16280,"peanut brittle holds 138.0 calories. It contains 5.4 grams of fat, 3.4 grams of cholesterol, and 0.3 grams of iron, along with 14.5 grams of sugars and 20.2 grams of carbohydrates."
16281,"butterscotch amounts to 21.0 calories. It includes 0.2 grams of fat, 0.5 grams of cholesterol, and 0.02 grams of iron, along with 4.3 grams of sugars and 4.8 grams of carbohydrates."
16282,"chocolate coffee beans contains 155.0 calories. It has 9.4 grams of fat, 5.7 grams of cholesterol, and 0.6 grams of iron, plus 14.4 grams of sugars and 15.6 grams of carbohydrates."
16283,"nougat with almonds displays 56.0 calories. Nutritionally, it includes 0.2 grams of fat, 0.0 grams of cholesterol, and 0.082 grams of iron, along with 11.7 grams of sugars and 12.9 grams of carbohydrates."
16284,"carob has a calorie count of 135.0. It provides 7.8 grams of fat, 0.3 grams of cholesterol, and 0.011 grams of iron. It also contains 8.5 grams of sugar and 14.1 grams of carbs."
16285,"peanut butter fudge generates 62.0 calories. The nutritional breakdown includes 1.1 grams of fat, 0.5 grams of cholesterol, and 0.072 grams of iron, along with 11.7 grams of sugars and 12.4 grams of carbohydrates."
16286,"sugar coated almonds features 17.0 calories. The nutritional profile includes 0.6 grams of fat, 0.0 grams of cholesterol, and 0.061 grams of iron, along with 2.2 grams of sugars and 2.4 grams of carbohydrates."
16287,"chocolate coated marshmallow registers 118.0 calories. It contains 4.7 grams of fat, 0.0 grams of cholesterol, and 0.7 grams of iron, as well as 12.5 grams of sugars and 19.0 grams of carbohydrates."
16288,"raisins chocolate coated features 390.0 calories. The nutritional profile includes 14.8 grams of fat, 3.0 grams of cholesterol, and 1.7 grams of iron, along with 62.2 grams of sugars and 68.4 grams of carbohydrates."
16289,"chewing gum sugarless exhibits 5.0 calories. It contains 0.013 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, as well as 0.0 grams of sugars and 1.9 grams of carbohydrates."
16290,"chewing gum displays 11.0 calories. Nutritionally, it includes 0.032 grams of fat, 0.0 grams of cholesterol, and 0.0 grams of iron, along with 2.0 grams of sugars and 2.9 grams of carbohydrates."
16291,"chocolate syrup contains 109.0 calories. In terms of nutrition, it has 0.4 grams of fat, 0.0 grams of cholesterol, and 0.8 grams of iron. Additionally, it includes 19.4 grams of sugar and 25.4 grams of carbs."
16292,"chocolate fudge syrup encompasses 67.0 calories. It contains 1.7 grams of fat, 0.2 grams of cholesterol, and 0.2 grams of iron, along with 6.6 grams of sugars and 12.0 grams of carbohydrates."
16293,"m ms milk chocolate mars demonstrates 207.0 calories. The nutritional content includes 8.9 grams of fat, 5.9 grams of cholesterol, and 0.5 grams of iron, along with 26.7 grams of sugars and 29.9 grams of carbohydrates."
16294,"milk chocolate with almonds makes up 216.0 calories. The nutritional breakdown includes 14.1 grams of fat, 7.8 grams of cholesterol, and 0.7 grams of iron, along with 18.0 grams of sugars and 21.9 grams of carbohydrates."
16295,"chocolate fudge demonstrates 70.0 calories. The nutritional content includes 1.8 grams of fat, 2.4 grams of cholesterol, and 0.3 grams of iron, along with 12.4 grams of sugars and 13.0 grams of carbohydrates."
16296,"With 0.0 calories, milk chocolate with rice cereal offers 0.0 grams of fat, 0.0 grams of cholesterol, 0.0 grams of iron, 0.0 grams of sugars, and 0.0 grams of carbohydrates."
16297,"m ms peanut chocolate mars packs 93.0 calories. It has 4.7 grams of fat, 1.4 grams of cholesterol, and 0.2 grams of iron, as well as 9.1 grams of sugars and 10.9 grams of carbohydrates."
16298,"dark chocolate generates 165.0 calories. The nutritional breakdown includes 9.7 grams of fat, 2.1 grams of cholesterol, and 0.3 grams of iron, along with 13.8 grams of sugars and 18.0 grams of carbohydrates."
16299,"chocolate semisweet gives you 806.0 calories. It contains 50.4 grams of fat, 0.0 grams of cholesterol, and 5.3 grams of iron. Additionally, it includes 91.6 grams of sugar and 107.4 grams of carbs."
16300,"after eight mints nestle exhibits 36.0 calories. It contains 1.0 grams of fat, 0.0 grams of cholesterol, and 0.062 grams of iron, as well as 5.6 grams of sugars and 6.7 grams of carbohydrates."
